,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,72.34,76,22,8.59,PF,1658504306
1,avarua,-21.2078,-159.775,78.85,73,20,12.66,CK,1658510063
2,cherskiy,68.75,161.3,51.89,49,18,2.73,RU,1658498247
3,hilo,19.7297,-155.09,77.88,81,100,10.36,US,1658505151
4,rundu,-17.9333,19.7667,54.66,61,1,6.55,NA,1658553042
5,longyearbyen,78.2186,15.6401,48.04,87,75,3.44,SJ,0
6,busselton,-33.65,115.3333,60.17,81,100,23.64,AU,1658531828
7,henties bay,-22.116,14.2845,57.11,86,1,6.82,NA,1658554770
8,sao filipe,14.8961,-24.4956,74.79,83,33,1.07,CV,1658560698
9,alpuyeca,18.7333,-99.2667,73.45,78,100,2.42,MX,1658491851
10,puerto ayora,-0.7393,-90.3518,69.55,90,8,3.0,EC,1658491514
11,tuktoyaktuk,69.4541,-133.0374,54.12,75,99,11.77,CA,0
12,grindavik,63.8424,-22.4338,50.47,100,75,4.61,IS,1658549483
13,nanhai,30.1282,111.7784,74.14,93,100,4.16,CN,1658526349
14,atuona,-9.8,-139.0333,77.56,76,15,14.45,PF,1658504004
15,pindi gheb,33.2402,72.2661,82.17,78,100,8.39,PK,1658535437
16,kontagora,10.3999,5.4695,71.64,97,100,1.97,NG,1658553926
17,ushuaia,-54.8,-68.3,35.26,87,75,21.85,AR,1658493507
18,yellowknife,62.456,-114.3525,66.43,46,8,9.19,CA,1658485972
19,bredasdorp,-34.5322,20.0403,54.09,88,100,8.37,ZA,1658554803
20,luderitz,-26.6481,15.1594,57.4,68,41,14.5,NA,1658555038
21,port hedland,-20.3167,118.5667,73.45,78,0,11.5,AU,1658529567
22,saldanha,-33.0117,17.9442,57.9,81,99,12.03,ZA,1658555112
23,naze,28.3667,129.4833,81.64,65,100,4.7,JP,1658522311
24,lulea,65.5842,22.1547,55.47,62,100,12.66,SE,1658537263
25,huanuco,-9.9329,-76.2415,60.73,91,87,2.3,PE,1658488947
26,punta arenas,-53.15,-70.9167,35.71,69,0,14.97,CL,1658493669
27,albany,42.6001,-73.9662,75.49,69,0,3.56,US,1658482662
28,kapaa,22.0752,-159.319,82.18,63,0,14.97,US,1658505922
29,jamestown,42.097,-79.2353,73.42,68,0,5.75,US,1658484018
30,yinchuan,38.4681,106.2731,77.27,22,0,5.93,CN,1658526521
31,mehamn,71.0357,27.8492,51.75,82,75,14.97,NO,0
32,nhulunbuy,-12.2333,136.7667,77.61,53,7,11.5,AU,1658524432
33,qaanaaq,77.484,-69.3632,37.6,97,100,13.09,GL,0
34,santa cruz,-17.8,-63.1667,72.86,73,0,6.91,BO,1658486545
35,barrow,71.2906,-156.7887,39.22,93,100,12.66,US,0
36,senneterre,48.3835,-77.2328,63.97,76,16,8.39,CA,1658482272
37,ribeira grande,38.5167,-28.7,73.26,90,71,6.4,PT,1658558926
38,ponta do sol,32.6667,-17.1,69.3,69,9,5.35,PT,1658556970
39,katsuura,35.1333,140.3,81.7,73,0,20.22,JP,1658518842
40,sambava,-14.2667,50.1667,68.13,85,87,9.98,MG,1658545401
41,kwekwe,-18.9281,29.8149,52.95,75,54,4.94,ZW,1658550727
42,manjacaze,-24.7117,33.8828,59.47,96,0,3.53,MZ,1658550337
43,elesbao veloso,-6.2019,-42.1403,84.25,40,96,8.21,BR,1658480428
44,coronado,32.6859,-117.1831,73.99,73,24,5.99,US,1658494559
45,vaini,-21.2,-175.2,75.36,88,75,12.66,TO,1658600144
46,aklavik,68.2191,-135.0107,62.56,70,100,15.01,CA,1658484536
47,nazarovo,56.0064,90.3914,55.74,95,100,7.7,RU,1658526322
48,bengkulu,-3.8004,102.2655,78.35,79,42,3.31,ID,1658531956
49,ixtapa,20.7,-105.2,82.58,89,99,3.04,MX,1658493074
50,tema,5.667,-0.0166,74.91,82,81,8.9,GH,1658555670
51,narsaq,60.9167,-46.05,52.02,77,63,3.31,GL,1658470454
52,cape town,-33.9258,18.4232,55.04,87,75,3.0,ZA,1658555112
53,hobart,-42.8794,147.3294,54.45,79,75,1.14,AU,1658525497
54,saint-philippe,-21.3585,55.7679,64.09,82,39,14.29,RE,1658544740
